Job Title,Address,Job Link
Data Analyst - Marketing (f/m/x),"Berlin, Germany
3 weeks ago",https://de.linkedin.com/jobs/view/data-analyst-marketing-f-m-x-at-refurbed-3922778892?position=1&pageNum=0&refId=EkaYlerh5v%2Fc5ycG4GWsfA%3D%3D&trackingId=cOAgWA02pQ7UAPwvodrJpw%3D%3D&trk=public_jobs_jserp-result_search-card
IIoT Business Data Analyst (m/f/d),"Berlin, Germany
4 weeks ago",https://de.linkedin.com/jobs/view/iiot-business-data-analyst-m-f-d-at-factorypal-3915725444?position=2&pageNum=0&refId=EkaYlerh5v%2Fc5ycG4GWsfA%3D%3D&trackingId=9rRByBRs9%2Bs23zUzIwWQaw%3D%3D&trk=public_jobs_jserp-result_search-card
"Senior Data Analyst, Applied Marketing Measurement (Relocation to Tallinn)","Berlin, Germany
Actively Hiring
3 days ago",https://de.linkedin.com/jobs/view/senior-data-analyst-applied-marketing-measurement-relocation-to-tallinn-at-bolt-3934445593?position=3&pageNum=0&refId=EkaYlerh5v%2Fc5ycG4GWsfA%3D%3D&trackingId=yMUSA45EjjndB9ZgaUB8fA%3D%3D&trk=public_jobs_jserp-result_search-card
"Senior Data Analyst, Promotions Europe (m/f/x)","Berlin, Berlin, Germany
Actively Hiring
1 week ago",https://de.linkedin.com/jobs/view/senior-data-analyst-promotions-europe-m-f-x-at-wayfair-3932399471?position=4&pageNum=0&refId=EkaYlerh5v%2Fc5ycG4GWsfA%3D%3D&trackingId=OUZRZdKBOtdQpXBsi3kfgg%3D%3D&trk=public_jobs_jserp-result_search-card
Power BI Report Designer (d/f/m),"Berlin, Berlin, Germany
Actively Hiring
2 weeks ago",https://de.linkedin.com/jobs/view/power-bi-report-designer-d-f-m-at-ottobock-3924757684?position=5&pageNum=0&refId=EkaYlerh5v%2Fc5ycG4GWsfA%3D%3D&trackingId=iqX7IumlHsYRslwC3nGtDg%3D%3D&trk=public_jobs_jserp-result_search-card
Business Analyst (eCommerce),"Berlin, Berlin, Germany
1 week ago",https://de.linkedin.com/jobs/view/business-analyst-ecommerce-at-lovehoney-group-3931053011?position=6&pageNum=0&refId=EkaYlerh5v%2Fc5ycG4GWsfA%3D%3D&trackingId=dWnrpU5kEtSCIWJAddcoJQ%3D%3D&trk=public_jobs_jserp-result_search-card
Business Analyst Data & AI Life Sciences (w/m/d),"Berlin, Berlin, Germany
Actively Hiring
6 months ago",https://de.linkedin.com/jobs/view/business-analyst-data-ai-life-sciences-w-m-d-at-capgemini-3760808449?position=7&pageNum=0&refId=EkaYlerh5v%2Fc5ycG4GWsfA%3D%3D&trackingId=ih%2BVj%2F91%2Bj%2BXlRyOAqvCwg%3D%3D&trk=public_jobs_jserp-result_search-card
Big Data Analyst / Business Analyst (m/w/d),"Falkensee, Brandenburg, Germany
Be an early applicant
1 hour ago",https://de.linkedin.com/jobs/view/big-data-analyst-business-analyst-m-w-d-at-jooble-3941098382?position=8&pageNum=0&refId=EkaYlerh5v%2Fc5ycG4GWsfA%3D%3D&trackingId=YXbUGQV3mx3gCLh4HEKlVA%3D%3D&trk=public_jobs_jserp-result_search-card
Big Data Analyst / Business Analyst (m/w/d),"Berlin, Berlin, Germany
Be an early applicant
1 hour ago",https://de.linkedin.com/jobs/view/big-data-analyst-business-analyst-m-w-d-at-jooble-3941096685?position=9&pageNum=0&refId=EkaYlerh5v%2Fc5ycG4GWsfA%3D%3D&trackingId=T9wUl%2Fi%2FW5zHQ2j9e%2F32vg%3D%3D&trk=public_jobs_jserp-result_search-card
Big Data Analyst / Business Analyst (m/w/d),"Ludwigsfelde, Brandenburg, Germany
Be an early applicant
1 hour ago",https://de.linkedin.com/jobs/view/big-data-analyst-business-analyst-m-w-d-at-jooble-3941099177?position=10&pageNum=0&refId=EkaYlerh5v%2Fc5ycG4GWsfA%3D%3D&trackingId=6NldmRdgDFF%2FLD0yQalXYw%3D%3D&trk=public_jobs_jserp-result_search-card
Senior Digital Marketing Analyst,"Berlin, Germany
Actively Hiring
5 days ago",https://de.linkedin.com/jobs/view/senior-digital-marketing-analyst-at-thryve-3936599858?position=11&pageNum=0&refId=EkaYlerh5v%2Fc5ycG4GWsfA%3D%3D&trackingId=Aj5Rq9qBgWfIzFzvuXGrlQ%3D%3D&trk=public_jobs_jserp-result_search-card
